año;categoria;subcategoria;indicador_id;indicador;fuente_oficial;valor;url_verificable;unidad;periodo_referencia;frecuencia;tipo_periodo;estado_dato;geo_nivel;geo_nombre;definicion;fecha_revision_fuente;notas;lado;sector_sec;clasificacion;codigo;parent_codigo;nivel;vintage;metodologia;source_id;es_ajuste_vintage;es_corte_analitico
2024;Sector público;Operaciones no financieras;fp_gasto_total_s13;Gasto consolidado de las Administraciones Públicas;IGAE — Operaciones no financieras / NEDD;725001;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/paginas/datosadminestado.aspx;millones de euros;2024;Anual;año natural;oficial_revisado;País;España;Empleos no financieros consolidados del sector Administraciones Públicas S.13.;2026-06-29;Total reconciliado con COFOG 2024(P).;centro;S.13;SEC2010;S13.GASTO;;0;IGAE vigente 2026-06-29 · Revisión Estadística 2024;SEC 2010;IGAE_NEDD_20260629;no;no
2024;Sector público;Ingresos públicos;fp_recursos_total_s13;Recursos no financieros de las Administraciones Públicas;IGAE — Operaciones no financieras / NEDD;673734;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/paginas/datosadminestado.aspx;millones de euros;2024;Anual;año natural;oficial_revisado;País;España;Recursos no financieros consolidados del sector Administraciones Públicas S.13.;2026-06-29;"El detalle económico disponible en el informe 4T 2024 pertenece a una vintage anterior; se concilia mediante un ajuste técnico explícito de 1.075 M€.";ingreso_total;S.13;SEC2010;S13.RECURSOS;S13.GASTO;1;IGAE vigente 2026-06-29 · Revisión Estadística 2024;SEC 2010;IGAE_NEDD_20260629;no;no
2024;Sector público;Ingresos públicos;fp_ingreso_d_2;Impuestos sobre la producción y las importaciones;IGAE — Informe trimestral AAPP 4T 2024;177139;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;millones de euros;2024;Anual;año natural;oficial_vintage_4t;País;España;Impuestos sobre productos, IVA y otros impuestos sobre la producción/importaciones.;2025;Componente del detalle oficial 4T 2024. La suma de estos cinco componentes es 672.659 M€, vintage anterior a la revisión vigente.;ingreso;S.13;SEC2010;D.2;S13.RECURSOS;2;IGAE 4T 2024 · Revisión Estadística 2024;SEC 2010;IGAE_IT4_2024;no;no
2024;Sector público;Ingresos públicos;fp_ingreso_d_5;Impuestos corrientes sobre la renta y el patrimonio;IGAE — Informe trimestral AAPP 4T 2024;198726;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;millones de euros;2024;Anual;año natural;oficial_vintage_4t;País;España;Impuestos corrientes sobre renta, beneficios y patrimonio, según SEC 2010.;2025;Componente del detalle oficial 4T 2024. La suma de estos cinco componentes es 672.659 M€, vintage anterior a la revisión vigente.;ingreso;S.13;SEC2010;D.5;S13.RECURSOS;2;IGAE 4T 2024 · Revisión Estadística 2024;SEC 2010;IGAE_IT4_2024;no;no
2024;Sector público;Ingresos públicos;fp_ingreso_d_91;Impuestos sobre el capital;IGAE — Informe trimestral AAPP 4T 2024;5571;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;millones de euros;2024;Anual;año natural;oficial_vintage_4t;País;España;Impuestos sobre transferencias de capital y riqueza, según SEC 2010.;2025;Componente del detalle oficial 4T 2024. La suma de estos cinco componentes es 672.659 M€, vintage anterior a la revisión vigente.;ingreso;S.13;SEC2010;D.91;S13.RECURSOS;2;IGAE 4T 2024 · Revisión Estadística 2024;SEC 2010;IGAE_IT4_2024;no;no
2024;Sector público;Ingresos públicos;fp_ingreso_d_61;Cotizaciones sociales;IGAE — Informe trimestral AAPP 4T 2024;210240;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;millones de euros;2024;Anual;año natural;oficial_vintage_4t;País;España;Cotizaciones sociales efectivas e imputadas que constituyen recurso de las AAPP.;2025;Componente del detalle oficial 4T 2024. La suma de estos cinco componentes es 672.659 M€, vintage anterior a la revisión vigente.;ingreso;S.13;SEC2010;D.61;S13.RECURSOS;2;IGAE 4T 2024 · Revisión Estadística 2024;SEC 2010;IGAE_IT4_2024;no;no
2024;Sector público;Ingresos públicos;fp_ingreso_rest_recursos;Resto de recursos no financieros;IGAE — Informe trimestral AAPP 4T 2024;80983;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;millones de euros;2024;Anual;año natural;oficial_vintage_4t;País;España;Recursos no financieros distintos de impuestos y cotizaciones sociales en el consolidado S.13.;2025;Componente del detalle oficial 4T 2024. La suma de estos cinco componentes es 672.659 M€, vintage anterior a la revisión vigente.;ingreso;S.13;SEC2010;REST.RECURSOS;S13.RECURSOS;2;IGAE 4T 2024 · Revisión Estadística 2024;SEC 2010;IGAE_IT4_2024;no;no
2024;Sector público;Ingresos públicos;fp_ingreso_adj_vintage_2024;Ajuste de revisión estadística posterior;IGAE — conciliación entre publicaciones oficiales;1075;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/paginas/datosadminestado.aspx;millones de euros;2024;Anual;año natural;ajuste_tecnico;País;España;Diferencia entre el total de recursos vigente y el detalle de recursos publicado en la vintage 4T 2024.;2026-06-29;1.075 M€. NO es una fuente de ingreso. Se muestra solo para que el Sankey cierre sin ocultar la revisión estadística. Se eliminará al ingerir un detalle anual de la misma vintage que el total vigente.;ingreso;S.13;RECONCILIACION;ADJ.VINTAGE.2024;S13.RECURSOS;2;Puente 4T-2024 → IGAE vigente 2026-06-29;"Conciliación de vintage; no es una operación económica";IGAE_RECON_VINTAGE_2024;sí;no
2024;Sector público;Saldo público;fp_deficit_s13;Necesidad de financiación / déficit;IGAE — Operaciones no financieras / NEDD;51267;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/paginas/datosadminestado.aspx;millones de euros;2024;Anual;año natural;oficial_revisado;País;España;Necesidad de financiación del sector Administraciones Públicas S.13.;2026-06-29;"Se representa como financiación adicional para cerrar el flujo; no se denomina ingreso público.";financiacion;S.13;SEC2010;S13.DEFICIT;S13.GASTO;1;IGAE vigente 2026-06-29 · Revisión Estadística 2024;SEC 2010;IGAE_NEDD_20260629;no;no
2024;Sector público;Ingresos por subsector;fp_ingreso_d_2_s1311;Administración Central;IGAE — Informe trimestral AAPP 4T 2024;126487;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;millones de euros;2024;Anual;año natural;oficial_vintage_4t;País;España;Desglose por subsector receptor del agregado D.2.;2025;"Subsector del mismo detalle 4T 2024; el desglose reconcilia exactamente con el agregado SEC de esta vintage.";ingreso_detalle;S.13;SEC2010_SUBSECTOR;D.2.S1311;D.2;3;IGAE 4T 2024 · Revisión Estadística 2024;SEC 2010;IGAE_IT4_2024;no;no
