año;grupo_sec;subsector;figura;valor_mill_eur;es_exhaustivo;es_sumable_en_sankey;fuente_oficial;url_verificable;vintage;notas
2024;D.2;Estado;IVA (ingresos SEC en cuentas del Estado);91687;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
2024;D.2;Estado;Impuesto Especial sobre la Electricidad;1111;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
2024;D.2;Estado;Impuesto sobre Determinados Servicios Digitales;375;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
2024;D.2;Estado;Impuesto sobre Primas de Seguros;2567;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
2024;D.2;Estado;Gravamen Temporal Energético;1164;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
2024;D.2;Administración Regional;IGIC;2325;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
2024;D.2;Administración Regional;ITP y AJD;12278;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
2024;D.2;Administración Regional;IVA de Navarra;1697;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
2024;D.2;Administración Local;IBI;14163;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
2024;D.2;Administración Local;IAE;1988;no;no;IGAE — Informe trimestral AAPP 4T 2024;https://www.igae.pap.hacienda.gob.es/sitios/igae/es-ES/Contabilidad/ContabilidadNacional/Publicaciones/Documents/Cap_Trim/IT_4T_2024.pdf;IGAE 4T 2024 · Revisión Estadística 2024;Figura destacada publicada dentro del subsector indicado. NO sumar estas filas entre sí para reconstruir S.13: no forman una lista exhaustiva y algunas reflejan reglas de imputación territorial/SEC.
