year,category,subcategory,indicator_id,indicator_name,source,value,source_url,unit,reference_period,frequency,period_type,status,geo_level,geo_name,definition,source_revision_date,notes
2019,Demografía,Población,crecimiento_poblacion,Crecimiento población,Cálculo propio sobre INE - tabla 56934,0.59,https://ine.es/jaxiT3/Tabla.htm?t=56934,%,2019,Anual,1 de enero,calculado,País,España,Variación porcentual interanual de población residente a 1 de enero.,2026-07-10,Calculado como población 1 de enero del año / población 1 de enero del año anterior - 1.
2020,Demografía,Población,crecimiento_poblacion,Crecimiento población,Cálculo propio sobre INE - tabla 56934,0.85,https://ine.es/jaxiT3/Tabla.htm?t=56934,%,2020,Anual,1 de enero,calculado,País,España,Variación porcentual interanual de población residente a 1 de enero.,2026-07-10,Calculado como población 1 de enero del año / población 1 de enero del año anterior - 1.
2021,Demografía,Población,crecimiento_poblacion,Crecimiento población,Cálculo propio sobre INE - tabla 56934,0.17,https://ine.es/jaxiT3/Tabla.htm?t=56934,%,2021,Anual,1 de enero,calculado,País,España,Variación porcentual interanual de población residente a 1 de enero.,2026-07-10,Calculado como población 1 de enero del año / población 1 de enero del año anterior - 1.
2022,Demografía,Población,crecimiento_poblacion,Crecimiento población,Cálculo propio sobre INE - tabla 56934,0.18,https://ine.es/jaxiT3/Tabla.htm?t=56934,%,2022,Anual,1 de enero,calculado,País,España,Variación porcentual interanual de población residente a 1 de enero.,2026-07-10,Calculado como población 1 de enero del año / población 1 de enero del año anterior - 1.
2023,Demografía,Población,crecimiento_poblacion,Crecimiento población,Cálculo propio sobre INE - tabla 56934,1.26,https://ine.es/jaxiT3/Tabla.htm?t=56934,%,2023,Anual,1 de enero,calculado,País,España,Variación porcentual interanual de población residente a 1 de enero.,2026-07-10,Calculado como población 1 de enero del año / población 1 de enero del año anterior - 1.
2024,Demografía,Población,crecimiento_poblacion,Crecimiento población,Cálculo propio sobre INE - tabla 56934,1.11,https://ine.es/jaxiT3/Tabla.htm?t=56934,%,2024,Anual,1 de enero,calculado,País,España,Variación porcentual interanual de población residente a 1 de enero.,2026-07-10,Calculado como población 1 de enero del año / población 1 de enero del año anterior - 1.
2025,Demografía,Población,crecimiento_poblacion,Crecimiento población,Cálculo propio sobre INE - tabla 56934,1.05,https://ine.es/jaxiT3/Tabla.htm?t=56934,%,2025,Anual,1 de enero,calculado,País,España,Variación porcentual interanual de población residente a 1 de enero.,2026-07-10,Calculado como población 1 de enero del año / población 1 de enero del año anterior - 1.
2018,Demografía,Población,poblacion_residente,Población residente,INE - población residente tabla 56934,46645070,https://ine.es/jaxiT3/Tabla.htm?t=56934,personas,2018,Anual,1 de enero,oficial,País,España,Población residente total a 1 de enero.,2026-07-10,
2019,Demografía,Población,poblacion_residente,Población residente,INE - población residente tabla 56934,46918951,https://ine.es/jaxiT3/Tabla.htm?t=56934,personas,2019,Anual,1 de enero,oficial,País,España,Población residente total a 1 de enero.,2026-07-10,
2020,Demografía,Población,poblacion_residente,Población residente,INE - población residente tabla 56934,47318050,https://ine.es/jaxiT3/Tabla.htm?t=56934,personas,2020,Anual,1 de enero,oficial,País,España,Población residente total a 1 de enero.,2026-07-10,
2021,Demografía,Población,poblacion_residente,Población residente,INE - población residente tabla 56934,47400798,https://ine.es/jaxiT3/Tabla.htm?t=56934,personas,2021,Anual,1 de enero,oficial,País,España,Población residente total a 1 de enero.,2026-07-10,
2022,Demografía,Población,poblacion_residente,Población residente,INE - población residente tabla 56934,47486727,https://ine.es/jaxiT3/Tabla.htm?t=56934,personas,2022,Anual,1 de enero,oficial,País,España,Población residente total a 1 de enero.,2026-07-10,
2023,Demografía,Población,poblacion_residente,Población residente,INE - población residente tabla 56934,48085361,https://ine.es/jaxiT3/Tabla.htm?t=56934,personas,2023,Anual,1 de enero,oficial,País,España,Población residente total a 1 de enero.,2026-07-10,
2024,Demografía,Población,poblacion_residente,Población residente,INE - población residente tabla 56934,48619695,https://ine.es/jaxiT3/Tabla.htm?t=56934,personas,2024,Anual,1 de enero,oficial,País,España,Población residente total a 1 de enero.,2026-07-10,
2025,Demografía,Población,poblacion_residente,Población residente,INE - población residente tabla 56934,49128297,https://ine.es/jaxiT3/Tabla.htm?t=56934,personas,2025,Anual,1 de enero,oficial,País,España,Población residente total a 1 de enero.,2026-07-10,
2018,Economía,PIB,crecimiento_pib_real,Crecimiento PIB real,INE - Contabilidad Nacional Trimestral,2.4,https://ine.es/dyngs/Prensa/CNTR4T25.htm,%,2018,Anual,año natural,oficial,País,España,Variación anual en volumen del Producto Interior Bruto.,2026-07-10,"2025: 2,8% real según INE. 2024 revisado a 3,5%. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025."
2019,Economía,PIB,crecimiento_pib_real,Crecimiento PIB real,INE - Contabilidad Nacional Trimestral,2,https://ine.es/dyngs/Prensa/CNTR4T25.htm,%,2019,Anual,año natural,oficial,País,España,Variación anual en volumen del Producto Interior Bruto.,2026-07-10,"2025: 2,8% real según INE. 2024 revisado a 3,5%. Serie recuperada de la primera versión saneada para no perder cobertura histórica 2018-2025."
